吖,a,口,6,吖,kuhh,6325,251432,"吖：外国语的音译,主要用于有机化学。如:吖嗪"
阿,a、e,阝,7,阿,bskg,1602,5212512,"阿 <助>
表示语气 [what]
用在感叹句末,加强感叹语气。如:他跑得真快啊
用在陈述句或祈使句,表示肯定、辨明、请求、劝止、警告、催促、命令等。如:这话说得对啊!请坐啊,女士们
用在问句末尾 [really?]
在有疑问指代词的问句或选择问句里,用来和缓语气。如:是谁啊?
在陈述句形式的问句里,提问的目的是要求得到证实。如:你不去啊?
用在打招呼的话里 [hay]。如:老张啊,你这儿来!
用在重复的动词后面,表示过程长 [on and on]。如:…找啊找啊,终于找到了金矿"
啊,a,口,10,啊,kbsk,1601,2515212512,"啊 <叹>
(形声。从口,阿声。本义:叹词) 表示惊叹或赞颂 [ah]。如:啊!多么美丽的夜色;啊!祖国,我为您歌唱"
锕,a,钅,12,錒,qbsk,7925,311155212512,"锕 <名>
一种放射性的三价金属元素,原子序数89,其化学性质类似于镧,由镤经放射α粒子生成,半衰期为22年,尤见于沥青铀矿中 [actinium]――元素符号Ac"
嗄,ga、a,口,13,嗄,kdht,6436,2511325111354,"嗄〈叹〉
同“啊”。表示省悟或惊奇 [ah]
嗄!难道这里是没有地方官的么?――宋·佚名《新编五代史平话》"
哎,ai、a,口,8,哎,kaqy,1605,25112234,"哎〈叹〉
表示满意或赞叹 [yes]。如:哎,这就对了!
表示惊讶或不满意 [why]。如:哎,你怎么不早说!
表示提醒 [look out]。如:哎,小声点
表示醒悟 [aha]。如:哎!原来是这样
表示招呼 [hello]。如:哎,大婶,我们回头再来看你
表示答应 [yes]。如:“李梅!”“哎!我在给病人换药,一会儿就来。”"
哀,ai,口,9,哀,yeu,1607,412513534,"哀〈形〉
(形声。从口,衣声。本义:悲痛;悲伤)
同本义 [grieved;sorrowful]
哀,闵也。――《说文》
哀,痛也。――《广雅》
以凶礼哀邦国之忧。――《周礼·大宗伯》。注:“救患分灾。”
舍正路而不由哀哉。――《孟子》。注:“伤也。”
呜呼哀哉。――《柳敏碑》
有妇人哭于墓间而哀。――《礼记·檀弓》
僵卧孤村不自哀。――宋·陆游《十一月四日风雨大作》
子言未发而哀乐具乎其前(悲哀、欢乐的神情都先流露了出来)。――清·黄宗羲《柳敬亭传》。
又如:哀咜(悲哀叹息);哀诏(皇上驾崩后,新君通告全国的文书);哀哉(表示悲伤或痛惜)"
唉,ai,口,10,唉,kctd,1606,2515431134,"唉〈叹〉
(形声。从口,矣声。本义:表示答应)
同本义 [yes;well]
唉,应也。――《说文》
唉,予知之。――《庄子·知北游》。释文:“应声。”
勤唉厥生。――《韦贤讽谏诗》
又如:“你一定要去呀!”“唉,我是要去的。”
假借为诶。表示叹息 [alas]
亚父受玉斗,置之地,拔剑撞而破之,曰:“唉!竖子不足与谋”。――《史记·项羽本纪》。
又如:“唉!”他又长长地叹了口气;唉!管不了他!"
埃,ai,土,10,埃,fctd,1603,1215431134,"埃〈名〉
(形声。从土,矣声。本义:尘土;灰尘) 同本义 [dust]
埃,尘也。――《说文》
埃,谓风扬尘也。――《苍颉篇》
灰尘曰埃。――《通俗文》
野马也,尘埃也,生物之以息相吹也。――《庄子·逍遥游》
埃不漫。――《列子·黄帝》
溘埃风余上征。――《离骚》
风淫所胜,则太虚埃昏。――《素问·至真要大论》
上食埃土,下饮黄泉。――《荀子·劝学》
又如:埃尘(飞扬的尘土);埃垢(灰尘污垢);埃土(泥土,尘土)
埃〈名〉
埃及的略称 [Egypt]
两种波长单位的任一种 [angstrom]
一百亿分之一米,即10-10米
镉的红色谱线波长除以6438.469"
挨,ai,扌,10,挨,rctd,1604,1215431134,"挨〈动〉
(形声。从手,矣声。本义:以手击背)
从后推击;打 [hit from behind]
挨,击背也。――《说文》
挨,击也。――《广雅》
靠近 [get close to]
对垒每欲相摩挨。――王安石《和王微之登高斋》。
又如:挨晚(傍晚);学校挨着工厂;挨墙靠壁
拥挤 [crowd]
宝玉挨身而入。――曹雪芹《红楼梦》。
又如:挨肩擦背(形容人群拥挤);挨挨挤挤;挨挨擦擦
依次,顺次 [one by one]
挨次给假回还原籍,省亲祭祖。――《明实录·洪熙实录》。
又如:挨门挨户,挨家比户(逐家逐户)"
欸,ai,欠,11,欸,,,54311343534,"欸 <叹>
表示招呼 [hello]。如:欸,你过来
表示诧异或忽然想起。如:欸,他怎么病了!欸,我三点钟还有一场电影呢!
表示不以为然 [No]。如:欸,这话可不对呀!
表示答应或同意 [Yes]。如:欸,我就来!"
锿,ai,钅,14,鎄,qyey,7945,31115412513534,"锿 <名>
人造放射性元素,原子序数99(用中子轰击钚即可产生)[einsteinium] ――元素符号Es"
捱,ai,扌,11,捱,rdff,6263,12113121121,"捱 <动>
遭受;忍受 [suffer]
这无情棍棒,教我挨不的。――关汉卿《元曲选·窦娥冤》。
又如:挨打;挨批
拖延;磨蹭 [delay]
你们不替洒家打这夫子,却在背后也慢慢地挨。――《水浒传》
等待 [wait]
好容易挨到三点半钟。――清·李宝嘉《官场现形记》
困难地度过或走过 [drag on;scrabble for a living]
只得挨过此岭,且去沙角镇上了任,却来打听。――《清平山堂话本》。
又如:挨日子(拖延时日);那时候挨一天算一天;挨了一年又一年"
